Player name,Guild,Discord name,,,,,,,,,,,,,,,,,,public?,Discord,Score Rank,Avg Score,NM Clears,VH Clears,W4 Clears,W3 Clears,H Clears,Misses,Best Phase,Best Score,Worst Phase,Worst Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,M. SZ/H,R. Hollow,M. Hollow,R. No Aff.,R. Captain,M. Q/SR,R. Soul Reaper,R. Q/SR,M. Espada,R. SZ/H,M. Soul Reaper,M. Captain,R. Espada,R. Arrancar,M. Arrancar,M. No Aff.,,,,(need to sort avg score first),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kocejam,45,kocejam,"300,930,599","281,736,360","166,163,300","165,696,700","164,608,000","166,234,800","164,815,300","162,788,000","165,077,700","164,494,700","166,464,100","165,349,799","163,811,000","164,978,199","302,682,800","303,192,500",,y,@kocejam,1,"198,063,991",3,16,16,16,16,0,M. No Aff.,"303,192,500",R. Q/SR,"162,788,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pat7res,45,pat7res,"300,310,600","209,252,516","165,777,200","165,260,000","164,172,200","162,922,200","164,221,800","150,936,771","162,234,200","164,054,200","165,973,400","165,461,099","162,828,800","165,036,500","300,332,800","301,945,300",,y,@pat7res,2,"191,919,974",3,15,16,16,16,0,M. No Aff.,"301,945,300",R. Q/SR,"150,936,771",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stunna,45,Stunna,"301,071,300","300,159,700","164,686,399","164,262,900","162,953,200","163,456,400","163,249,700","162,197,100","161,754,600","148,042,640","164,049,700","135,048,201","164,539,900","164,226,600","278,552,926","232,970,000",,y,@Stunna,3,"189,451,329",2,14,16,16,16,0,M. SZ/H,"301,071,300",M. Captain,"135,048,201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OverSeer,45,unseer,"233,000,000","162,212,800","165,143,300","163,963,600","163,228,400","163,946,900","162,117,200","161,637,500","163,789,300","162,674,200","162,823,300","163,411,799","162,215,600","163,542,000","300,200,400","301,271,000",,y,@unseer,4,"184,698,581",2,16,16,16,16,0,M. No Aff.,"301,271,000",R. Q/SR,"161,637,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fate,45,fate2378,"261,923,608","221,947,398","165,063,100","164,416,400","162,326,300","163,132,200","161,749,600","128,090,651","161,726,200","163,273,000","164,404,800","163,076,400","162,729,000","163,404,600","196,294,151","291,443,846",,y,@fate2378,5,"180,937,578",0,15,16,16,16,0,M. No Aff.,"291,443,846",R. Q/SR,"128,090,651",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kocejam(2),44,kocejam2,"135,529,671","194,889,594","164,637,900","165,207,600","162,800,200","164,116,400","163,316,700","161,723,900","161,650,599","164,131,500","164,877,900","161,597,200","162,457,100","163,032,000","300,315,500","300,408,900",,,@kocejam2,6,"180,668,292",2,15,16,16,16,0,M. No Aff.,"300,408,900",M. SZ/H,"135,529,671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nour,44,nour.db,"161,000,000","161,000,000","165,501,000","165,479,500","162,453,600","164,346,100","163,134,199","162,798,900","162,825,600","163,176,700","164,812,599","163,828,100","163,009,100","164,562,000","300,329,700","301,067,000",,y,@nour.db,7,"180,582,756",2,16,16,16,16,0,M. No Aff.,"301,067,000",M. SZ/H,"162,453,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBSservant,44,Iceman#5929,"301,344,300","173,094,388","164,195,900","163,988,700","162,271,299","162,389,899","162,603,400","74,194,381","162,331,500","162,199,600","163,021,300","163,046,500","162,174,600","163,714,700","300,152,900","233,000,000",,,@Iceman#5929,8,"179,607,710",2,15,15,15,16,0,M. SZ/H,"301,344,300",R. Q/SR,"74,194,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yozora,45,ns_yozora,"300,545,200","262,196,619","163,593,900","161,000,000","162,567,300","164,139,800","162,668,400","84,100,000","163,072,900","127,872,021","165,272,099","163,467,700","161,719,300","163,118,100","164,504,200","300,148,900",,,@ns_yozora,9,"179,374,152",2,14,15,15,16,0,M. SZ/H,"300,545,200",R. Q/SR,"84,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JtBlixk,45,jtcal,"161,000,000","161,000,000","164,901,600","165,072,000","162,137,300","163,509,600","163,700,800","102,314,607","161,504,800","163,367,500","164,612,700","162,777,600","163,126,300","163,750,000","300,775,200","300,282,100",,,@jtcal,10,"176,489,507",2,15,15,16,16,0,M. Arrancar,"300,775,200",R. Q/SR,"102,314,607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitsuri,45,kimetsyaiba,"101,045,069","162,941,400","166,111,700","164,594,800","162,816,700","164,789,900","163,456,500","145,425,408","162,347,400","161,897,800","165,504,600","162,795,200","161,442,100","165,303,799","302,009,100","301,630,699",,y,@kimetsyaiba,11,"175,882,011",2,14,15,16,16,0,M. Arrancar,"302,009,100",M. SZ/H,"101,045,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayers,45,thejaylnayers,"300,103,899","246,047,313","164,506,800","162,497,000","162,291,799","162,707,200","163,280,200","161,806,400","126,488,344","103,653,087","165,517,600","164,146,800","161,422,800","163,488,500","162,562,100","233,000,000",,y,@thejaylnayers,12,"175,219,990",1,14,15,16,16,0,M. SZ/H,"300,103,899",R. SZ/H,"103,653,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forgotten,45,bazraeth,"152,351,686","231,063,927","164,716,800","164,099,000","161,453,300","162,954,100","162,464,500","113,253,467","162,299,400","100,572,557","164,433,500","162,418,099","134,880,307","163,862,700","301,229,600","301,226,100",,y,@bazraeth,13,"175,204,940",2,12,14,16,16,0,M. Arrancar,"301,229,600",R. SZ/H,"100,572,557",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usurper,45,,"161,800,900","167,607,300","163,876,400","164,289,700","162,931,400","163,429,799","162,971,400","142,844,865","162,051,300","164,483,100","163,649,900","162,146,400","161,889,700","164,464,800","179,541,706","300,162,900",,,@,14,"171,758,848",1,15,16,16,16,0,M. No Aff.,"300,162,900",R. Q/SR,"142,844,865",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smiles,45,smilesgo4we,"288,268,701","162,244,600","164,382,200","163,130,800","143,777,591","163,009,700","161,561,500","105,644,889","132,251,320","107,527,314","164,442,100","162,368,099","161,451,400","162,329,100","216,461,943","288,001,055",,,@smilesgo4we,15,"171,678,270",0,12,14,16,16,0,M. SZ/H,"288,268,701",R. Q/SR,"105,644,889",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shideki,44,shidekix,"111,681,554","187,323,604","165,661,500","162,933,800","163,223,699","163,657,400","164,532,500","162,249,499","163,632,100","100,991,596","163,858,000","162,593,100","161,669,900","164,801,700","276,341,841","233,000,000",,,@shidekix,16,"169,259,487",0,14,14,16,16,0,M. Arrancar,"276,341,841",R. SZ/H,"100,991,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sekkan,45,.selyan,"119,400,001","162,279,599","165,028,199","163,168,000","161,407,900","165,739,900","164,111,400","161,562,900","161,726,200","161,459,600","165,994,900","164,434,800","161,691,300","164,084,800","245,904,713","190,581,439",,y,@.selyan,17,"167,410,978",0,15,16,16,16,0,M. Arrancar,"245,904,713",M. SZ/H,"119,400,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEPPA60,45,aizenbanka1,"161,616,600","162,917,200","165,510,400","162,414,800","163,591,700","163,882,600","162,411,700","96,731,248","136,167,092","163,668,700","164,731,100","164,775,300","163,808,700","164,546,200","210,789,435","207,050,909",,y,@aizenbanka1,18,"163,413,355",0,14,15,16,16,0,M. Arrancar,"210,789,435",R. Q/SR,"96,731,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
