Player name,Guild,Discord name,,,,,,,,,,,,,,,,,,public?,Discord,Score Rank,Avg Score,NM Clears,VH Clears,W4 Clears,W3 Clears,H Clears,Misses,Best Phase,Best Score,Worst Phase,Worst Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,R. Espada,M. Soul Reaper,M. No Aff.,M. Arrancar,M. SZ / H,R. Hollow,R. SZ / H,R. Arrancar,R. No Aff,M. Espada,R. Captain,M. Captain,R. Q/SR,R. Soul Reaper,M. Hollow,M. Q/SR,,,,(need to sort avg score first),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kocejam,45,kocejam,"164,035,800","166,562,400","166,002,600","166,014,300","164,202,100","165,450,900","300,383,900","301,170,900","166,059,600","165,246,000","164,880,899","166,292,700","289,391,333","301,238,800","166,289,200","166,188,100",,y,@kocejam,1,"198,713,096",3,16,16,16,16,0,R. Soul Reaper,"301,238,800",R. Espada,"164,035,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JC,45,captain_zoro_,,,,,,,,,,,,,"212,999,840","233,000,000","165,771,500","164,433,300",,y,@captain_zoro_,2,"194,051,160",0,4,4,4,4,0,R. Soul Reaper,"233,000,000",M. Q/SR,"164,433,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nour,45,nour.db,"163,314,300","165,467,700","165,953,100","164,483,600","163,057,400","164,411,900","300,481,200","301,178,800","165,686,200","163,014,099","163,284,400","164,363,500","215,355,561","300,323,000","165,679,500","164,923,899",,y,@nour.db,3,"193,186,135",3,16,16,16,16,0,R. Arrancar,"301,178,800",M. Espada,"163,014,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OverSeer,45,unseer,"163,640,400","164,808,800","165,300,400","165,501,700","163,017,000","163,036,499","300,164,700","300,767,600","164,334,800","163,212,200","163,932,400","163,106,500","200,721,530","300,203,071","165,584,700","164,137,000",,y,@unseer,4,"191,966,831",3,16,16,16,16,0,R. Arrancar,"300,767,600",M. SZ / H,"163,017,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kocejam(2),44,kocejam2,"163,403,400","166,154,100","164,947,800","165,439,300","161,700,600","164,274,800","300,367,300","281,344,817","166,027,500","162,122,100","164,021,500","164,479,700","300,005,600","208,679,202","165,253,400","165,873,400",,y,@kocejam2,5,"191,505,907",2,16,16,16,16,0,R. SZ / H,"300,367,300",M. SZ / H,"161,700,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pat7res,45,pat7res,"163,105,900","166,110,400","165,696,400","164,709,899","163,963,300","164,139,100","300,409,400","301,688,300","165,366,899","162,349,200","164,645,100","166,058,600","161,725,100","300,441,200","165,627,400","162,944,800",,y,@pat7res,6,"189,936,312",3,16,16,16,16,0,R. Arrancar,"301,688,300",R. Q/SR,"161,725,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shideki,45,shidekix,"163,592,000","164,142,400","165,451,800","164,323,000","165,115,800","164,526,500","146,348,981","301,955,200","164,434,200","164,608,900","164,443,100","163,419,400","276,189,530","300,758,200","165,902,100","164,361,800",,y,@shidekix,7,"187,473,307",2,15,16,16,16,0,R. Arrancar,"301,955,200",R. SZ / H,"146,348,981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usurper,45,,"162,454,600","164,249,900","164,957,500","163,856,500","162,143,300","162,749,900","300,678,100","300,389,700","163,798,300","162,557,900","163,044,800","162,902,400","185,217,914","233,000,000","164,979,999","163,588,100",,,,8,"186,285,557",2,16,16,16,16,0,R. SZ / H,"300,678,100",M. SZ / H,"162,143,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrispy,44,9chrispy6,,,,,"164,232,000","162,486,300","215,401,891","300,793,900","164,610,499","162,610,900","162,799,900","165,199,900","191,716,610","212,807,932","164,586,200","162,818,500",,,@9chrispy6,9,"185,838,711",1,12,12,12,12,0,R. Arrancar,"300,793,900",R. Hollow,"162,486,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBB,45,chinese_ftw,,,,,,,,,,,,,"161,479,700","252,371,545","164,764,700","163,381,100",,y,@chinese_ftw,10,"185,499,261",0,4,4,4,4,0,R. Soul Reaper,"252,371,545",R. Q/SR,"161,479,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitsuri,45,kimetsyaiba,"161,809,500","165,895,200","165,660,300","166,195,200","162,909,500","163,653,200","161,985,800","301,435,000","165,231,800","163,357,800","164,229,200","164,683,700","233,000,000","249,425,900","166,221,000","165,678,000",,y,@kimetsyaiba,11,"182,585,694",1,16,16,16,16,0,R. Arrancar,"301,435,000",R. Espada,"161,809,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stunna,45,Stunna,"164,959,899","164,566,400","163,558,000","164,818,099","164,481,400","165,531,500","162,201,399","300,686,200","164,396,400","161,732,900","164,278,100","155,009,166","212,240,023","272,196,438","165,206,700","164,368,100",,y,@Stunna,12,"181,889,420",1,15,16,16,16,0,R. Arrancar,"300,686,200",M. Captain,"155,009,166",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEPPA60,45,aizenbanka1,"162,254,800","164,728,600","163,815,400","163,512,400","164,225,700","163,151,800","249,434,976","268,475,369","163,666,300","112,900,000","163,102,700","165,343,200","162,394,200","300,858,500","165,194,100","163,972,300",,y,@aizenbanka1,13,"181,064,397",1,15,15,16,16,0,R. Soul Reaper,"300,858,500",M. Espada,"112,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sekkan,45,.selyan,"161,924,700","165,959,900","164,026,400","165,004,800","162,881,300","163,160,700","221,088,093","281,844,329","163,661,400","161,902,900","163,534,700","165,811,500","169,406,666","241,245,665","164,738,100","165,571,500",,y,@.selyan,14,"180,110,166",0,16,16,16,16,0,R. Arrancar,"281,844,329",M. Espada,"161,902,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayers,45,thejaylnayers,"161,679,700","165,677,800","164,081,800","161,771,500","163,437,800","163,804,600","106,305,687","272,253,922","162,875,700","151,281,436","162,545,400","164,455,200","250,840,948","300,303,000","165,751,300","164,419,000",,y,@thejaylnayers,15,"180,092,800",1,14,15,16,16,0,R. Soul Reaper,"300,303,000",R. SZ / H,"106,305,687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBSservant,44,Iceman#5929,"161,663,500","162,452,900","162,845,200","164,198,500","162,859,600","162,587,900","167,500,001","300,116,199","164,396,400","161,748,400","162,605,700","163,998,100","137,077,090","300,156,200","164,867,700","162,079,600",,,@Iceman#5929,16,"178,822,062",2,15,16,16,16,0,R. Soul Reaper,"300,156,200",R. Q/SR,"137,077,090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
