Player name,Guild,Discord name,,,,,,,,,,,,,,,,,,,,,Guild,public?,Player name,Score Rank,Avg Score,NM Clears,VH Clears,W4 Clears,W3 Clears,H Clears,Misses,Best Phase,Best Score,Worst Phase,Worst Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,M. No Aff,R. Quincy,M/R Human,R. Soul Reaper,M. Soul Reaper,M. Espada,R. Captain,R. Arrancar,M. Quincy,R. Espada,M. Captain,M. Hollow,R. SZ,R. Hollow,M/R Sternritter,R. No Aff,M. Arrancar,M. Squad Zero,,,,,,(need to sort avg score first),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrispy,45,9chrispy6,"301,006,300","183,657,467","162,853,000","165,363,200","165,483,600","162,777,700","163,168,900","165,511,600","303,306,400","264,222,868","164,473,700","166,037,800","164,856,500","163,724,600","165,382,300","165,691,000","302,835,700","300,971,899",,,45,,chrispy,1,"201,740,252",4,18,18,18,18,0,M. Quincy,"303,306,400",M. Espada,"162,777,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D._.Ahmed,44,dauda0402,"202,725,766","132,196,912","161,743,100","162,246,800","162,760,500","161,868,100","162,041,600","163,441,200","112,894,877","300,833,500","163,703,400","164,915,600","102,977,365","163,080,800","163,504,600","162,543,700","300,920,200","187,829,218",,,44,y,D._.Ahmed,2,"174,012,624",2,15,16,18,18,0,M. Arrancar,"300,920,200",R. SZ,"102,977,365",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fate,45,fate2378,"301,843,000","211,856,006","162,588,100","164,433,300","164,718,000","161,931,400","161,432,900","165,079,800","211,432,243","300,582,900","165,244,900","166,111,500","163,986,800","163,089,699","165,031,600","165,575,000","263,251,457","233,000,000",,,45,y,Fate,3,"193,954,923",2,18,18,18,18,0,M. No Aff,"301,843,000",R. Captain,"161,432,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forgotten,45,bazraeth,"301,742,299","191,991,626","162,271,700","165,058,000","164,829,800","162,273,700","163,281,900","165,183,700","188,930,028","300,613,400","164,617,300","166,235,000","163,537,500","164,388,300","165,698,400","165,958,600","302,248,800","300,417,199",,,45,y,Forgotten,4,"197,737,625",4,18,18,18,18,0,M. Arrancar,"302,248,800",M/R Human,"162,271,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GarboManV1,44,blackbirdo,"161,883,800","84,100,000","59,508,800","59,717,950","136,700,413","76,564,840","161,675,500","161,597,100","161,675,500","161,508,800","65,343,405","164,577,700","59,410,450","164,872,800","163,032,400","162,270,600","162,915,700","162,213,899",,,44,,GarboManV1,5,"129,420,537",0,11,12,12,18,0,R. Hollow,"164,872,800",R. SZ,"59,410,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyphilios,44,hyphilios,"161,831,799","162,007,000","105,551,248","151,749,692","164,804,800","161,930,300","135,626,696","148,191,909","201,590,776","133,273,893","156,289,472","163,420,100","162,522,500","162,098,800","164,237,600","163,895,600",0,"152,018,906",,,44,y,Hyphilios,6,"147,280,061",0,10,16,17,17,1,M. Quincy,"201,590,776",M/R Human,"105,551,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ichigo,44,ichigo___,"162,195,200","89,150,000","60,096,100","163,216,800","162,870,900","85,600,000","161,484,200","161,793,800","143,927,860","147,558,856","161,434,200","163,270,900","59,191,200","162,364,600","163,627,500","161,400,000","300,034,200","300,810,000",,,44,,Ichigo,7,"156,112,573",2,12,14,16,18,0,M. Squad Zero,"300,810,000",R. SZ,"59,191,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JC,45,captain_zoro_,"300,471,500","205,772,320","163,244,800","164,354,900","164,353,300","163,409,600","163,551,200","165,135,799","290,944,189","300,945,800","165,683,900","165,818,200","164,806,100","165,382,200","165,248,899","164,897,800","302,402,300","197,075,057",,,45,y,JC,8,"198,527,659",3,18,18,18,18,0,M. Arrancar,"302,402,300",M/R Human,"163,244,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JtBlixk,44,jtcal,"300,000,000","274,763,897","101,720,721","161,400,000","165,075,600","162,141,700","162,346,400","165,045,000","300,838,899","300,000,000","164,221,900","165,970,500","164,394,100","163,738,300","164,305,800","164,924,900","301,649,200","198,532,555",,,44,,JtBlixk,9,"198,948,304",2,17,17,18,18,0,M. Arrancar,"301,649,200",M/R Human,"101,720,721",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayers,45,kayers.j,"302,666,000","300,363,100","162,653,700","165,017,300","166,607,100","162,050,100","164,104,900","165,616,100","303,432,200","302,416,400","166,595,300","166,482,000","163,040,800","165,494,500","165,919,800","165,286,000","302,506,400","300,836,100",,,45,y,Kayers,10,"210,615,989",6,18,18,18,18,0,M. Quincy,"303,432,200",M. Espada,"162,050,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kocejam,45,kocejam,"303,297,699","300,736,000","164,428,100","165,616,800","166,509,500","165,718,000","165,101,500","165,707,800","303,135,100","300,987,800","166,595,600","166,261,200","165,489,900","165,408,800","166,632,300","166,101,000","303,000,900","301,228,600",,,45,y,kocejam,11,"211,219,811",6,18,18,18,18,0,M. No Aff,"303,297,699",M/R Human,"164,428,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kocejam(2),44,kocejam2,"300,863,400","300,473,400","162,263,800","164,063,100","166,552,300","162,443,699","164,735,799","164,649,900","300,592,200","300,580,500","165,414,300","165,844,200","165,427,700","164,799,600","166,600,600","166,109,100","300,000,000","300,000,000",,,45,y,kocejam(2),12,"210,078,533",4,18,18,18,18,0,M. No Aff,"300,863,400",M/R Human,"162,263,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kocejam(3),44,kocejam3,,,,,,,,,,,"99,725,574","164,931,700","68,508,465","163,453,400","163,940,000","164,158,400","223,117,418","96,089,070",,,44,,kocejam(3),13,"142,990,503",0,5,5,7,8,0,M. Arrancar,223117418,R. SZ,"68,508,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latif,44,tazaki01,"162,590,500","58,819,550","119,400,000","162,114,900","163,943,500","139,782,887","112,123,640","162,629,000","104,013,617","136,408,349","162,552,100","164,014,800","161,598,000","161,941,900","162,876,300","163,318,400","214,045,948","161,400,000",,,44,y,Latif,14,"148,531,855",0,12,14,17,18,0,M. Arrancar,"214,045,948",R. Quincy,"58,819,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MajinKev,44,.majinkev,"221,882,370","128,167,468","60,491,199","163,829,100","163,144,500","162,357,600","138,344,862",0,"106,209,297","145,464,547","66,951,680","162,838,500","104,725,838","137,869,344","106,264,555","162,662,700","300,847,600",0,,,44,y,MajinKev,15,"129,558,398",1,7,11,14,16,2,M. Arrancar,"300,847,600",M/R Human,"60,491,199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAOUSAGI,44,kalagnsarp,,,,,,"161,646,200","162,423,100","163,939,600","300,087,400","300,111,300","163,514,400","165,701,300","162,979,100","162,418,200","161,916,500","164,703,400","208,358,652","162,014,000",,,44,,MAOUSAGI,16,"187,677,935",2,13,13,13,13,0,R. Espada,300111300,M. Espada,"161,646,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memmzy..,44,memmzy,"202,395,474","138,622,849","144,644,916","119,400,000","161,472,300","128,297,847","163,839,200","163,458,800","300,077,300","235,942,835","162,075,900","86,645,177","60,020,200","161,564,000","162,622,500","163,000,000","161,741,600","120,028,540",,,44,y,Memmzy..,17,"157,547,191",1,11,15,17,18,0,M. Quincy,"300,077,300",R. SZ,"60,020,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MilkShark,45,milkshark,"300,276,200","132,885,973","161,992,300","164,083,600","164,801,200","161,775,600","163,399,500","164,194,400","300,557,700","301,444,100","164,971,400","166,010,500","164,836,099","164,396,400","164,236,200","165,733,700","301,572,700","270,620,009",,,45,y,MilkShark,18,"198,765,977",4,17,18,18,18,0,M. Arrancar,"301,572,700",R. Quincy,"132,885,973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
